id,tx,ty,rotation_deg,scale,patch_version,seed,tile_family,label
t_spectre_tile_1_1__pv1.0.0__f9b18401e4421c5f551a09bd6c,5.5551278916277287,4.1156640736194792,9.5416640443905487e-15,1.1000000000000003,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__af1ada88260116373bd3c23cd8,9.8077558357906529,4.3709199619452344,59.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__ef769f786af83d58b4cc51a0af,7.205127891627729,5.0682920177823725,59.999999999999993,1.1000000000000003,1.0.0,,spectre_tile_1_1,Pi
t_spectre_tile_1_1__pv1.0.0__244731d9e5e5e65ae791017744,4.6024999474648673,5.7656640736194795,59.999999999999993,1.1000000000000003,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__49b43733cd0679cac04b685d28,13.805127891627761,-12.45273153552071,-60.000000000000007,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__bb268bbdc19453c0c2ea08df6c,12.597244059139081,-9.8501035913578168,-29.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__83b4648c54ffecce146b778040,10.249872003301974,-8.2001035913578164,3.1805546814635168e-15,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__b0c65c859b64288d02252777fd,14.502499947464868,-9.8501035913578168,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__2f56eec4d99747db2926756574,15.710383779953421,-3.4369638705434147,-119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__68ecefea274c36c0a3f5f6dcc6,17.360383779953423,-2.4843359263805529,-179.99999999999997,1.0999999999999999,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__a8803fd80ede01a61eb615d32d,10.50512789162773,-2.0422197588691691,59.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__ab5f0f4c2580fbabcee5eb71ac,14.315639668279301,3.6735479061081264,-59.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__f53d862b70f9a9059a143abfba,12.410383779953547,5.578803794433882,30.000000000000004,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__ad40ebf5b233cc00713681f7f9,13.363011724116408,7.2288037944338823,180,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__1f6ec53a119cd87bd748068549,11.968267612442069,12.434059682759637,2.5444437451708134e-14,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__30e4e3e9d3c532887cd4159a54,15.523523500767825,15.291943515248285,-119.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__69ce9426006d122a30e3b94b98,-15.079035382489757,-11.823755088823729,1.2722218725854067e-14,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__2c397414eea4281ac41a1e53c1,-13.429035382489756,-10.871127144660836,59.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__d42d5d3e0b24dbbd80c8c6ceae,-16.03166332665262,-10.173755088823729,59.999999999999993,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__9bd67977d3b3e402383fb0516c,-12.221151550001077,-4.4579874238464638,-60.000000000000021,1.1000000000000003,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__ee2215f5f5cc8adf712e63403c,-12.221151550001077,-2.5527315355207096,-120.00000000000001,1.1000000000000003,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__1ca3691947be6b24d4ce7b50ea,-13.17377949416397,-0.90273153552070939,180,1.1000000000000003,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__5b14512b605814e7d404bdbc39,-14.568523605838184,4.3025243528050767,-2.5249547458556739e-15,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__3fa396f570304012e6bb91e5ca,-15.265895661675323,6.9051522969679704,-2.5249547458556739e-15,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__60b2d4ffd63e3ef81da17a296c,-13.615895661675323,7.8577802411308317,60.000000000000007,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__21e4693d6ffba5953c5259c333,-15.521151550001077,7.8577802411308317,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__26faeae8fdca396f3d313e4d6a,-13.615895661675323,9.7630361294566175,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__2885be7d855ac89eba45ad15fd,0.79198817081335737,-3.2501035913578167,60.000000000000007,1.1000000000000003,1.0.0,,spectre_tile_1_1,Lambda
t_spectre_tile_1_1__pv1.0.0__cb9e3dc5773f1c6dc6a3ec25e4,-1.1132677175124286,-3.2501035913578167,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__4586214dfba73bb8bd283ef566,0.79198817081335737,-1.344847703032062,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Pi
t_spectre_tile_1_1__pv1.0.0__4cfdf0be430cb38fa3f6b0f389,-4.1580118291867683,2.9077802411308311,2.5444437451708134e-14,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__5dc9bbbbb5bd02458dcc5e8554,2.6972440591390807,0.56040818529372416,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__9e804812ee9762c1e3fb320dd8,1.9998720033019739,5.0682920177823725,-120.00000000000001,1.1000000000000003,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__ff231f367394c4307085c8ff68,-4.8553838850238753,5.5104081852936933,2.5444437451708134e-14,1.1000000000000001,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__2119fb97aa27573e5f1c4342c1,2.9524999474648355,3.4182920177823721,90,1.1000000000000003,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__8cf8bcbbdd08d0835deff8dba8,3.649872003301974,6.0209199619452658,180,1.1000000000000001,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__81c0aa9afb0c10fc02c6f4d73f,-3.2053838850238749,6.4630361294565866,60.000000000000021,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__9ae76719f3c89caa56bb34af4c,-4.1580118291867372,8.1130361294565869,-89.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__1249b3533a2262500d6a28e8c6,-6.76063977334963,7.4156640736194799,-179.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__e317f4879401b16a4c27a9373d,-3.902755940860982,10.970919961945235,-59.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__edd1d629ce4f74c63082299fa9,-9.8053838850239075,13.573547906108097,-59.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__7af403f443faa83c069a2439b9,-8.1553838850239071,12.620919961945235,2.5444437451708134e-14,1.1000000000000001,1.0.0,,spectre_tile_1_1,Xi
t_spectre_tile_1_1__pv1.0.0__5078cc9bbb5d977ea42a0414f5,-8.8527559408610141,15.223547906108097,2.5444437451708134e-14,1.1000000000000001,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__3527aa47c6ef89af32664b5ac1,-9.8053838850239075,15.478803794433883,-119.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__db008a1d54eb011a4978c8c09f,-8.1553838850238751,17.826175850270989,-89.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__81b12e93dd93aac1875fbb9402,4.6024999474648673,7.6709199619452653,119.99999999999999,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__e4b644df845de76545df3b52ba,8.4130117241163145,11.481431738596743,-59.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__2247b6f692952e476d0d15a4cf,10.318267612442069,13.38668762692253,-59.999999999999972,1.1000000000000001,1.0.0,,spectre_tile_1_1,Delta
t_spectre_tile_1_1__pv1.0.0__a39bd0a51cbf6f85b34565d34f,8.4130117241163145,13.38668762692253,-119.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__29407d1a182e4d60e742cc1dd3,12.920895556604931,14.084059682759637,-149.99999999999994,1.0999999999999999,1.0.0,,spectre_tile_1_1,Gamma
t_spectre_tile_1_1__pv1.0.0__f078b61a555cae31ad9bec50b3,10.063011724116315,14.339315571085391,-179.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__07a5b9039ff14ac9194c0cf186,3.2077558357905276,14.781431738596744,60.000000000000021,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__ee320859d32df7b1869496ae56,2.952499947464867,8.6235479061081275,180,1.1000000000000001,1.0.0,,spectre_tile_1_1,Psi
t_spectre_tile_1_1__pv1.0.0__18c3769e56b7c6ccaf7aece248,-1.9975000525352586,12.87617585027099,-59.999999999999986,1.0999999999999999,1.0.0,,spectre_tile_1_1,Pi
t_spectre_tile_1_1__pv1.0.0__e6e9cae9c10797ddf94ba083a1,-0.092244164209472512,14.781431738596744,-59.999999999999986,1.0999999999999999,1.0.0,,spectre_tile_1_1,Sigma
t_spectre_tile_1_1__pv1.0.0__d02a47cad5d40388ef4188cec0,1.5577558357905277,13.828803794433883,2.2263882770244624e-14,1.0999999999999999,1.0.0,,spectre_tile_1_1,Phi
t_spectre_tile_1_1__pv1.0.0__852de069128ac27856c2fbfe7d,-1.9975000525352586,14.781431738596744,-119.99999999999997,1.1000000000000001,1.0.0,,spectre_tile_1_1,Phi
